mode,radius,target_source_snr,arm,method,sites,threshold,recoveries,mean_search_snr,median_search_snr,mean_center_snr,mean_localization_error_pixels,median_relative_contrast_error,relative_contrast_error_scatter,mean_positive_minus_baseline_throughput
225,20.0,3.0,frozen,radial_hann_m0p1_clip0p5,6,2.929053544998169,3,2.9388317267100015,2.9173099994659424,2.8127930959065757,0.3333333333333333,-0.1638256633376059,0.2222157037381348,1.012198342411183
225,20.0,3.0,frozen,radial_hann_m0p1_clip0p75,6,2.9540746212005615,3,2.944499890009562,2.946885347366333,2.820114334424337,0.3333333333333333,-0.15520964221376535,0.22039688050495582,1.0121661468687735
225,20.0,3.0,frozen,radial_hann_m0p1_clip1p0,6,2.968827724456787,3,2.945106267929077,2.9664143323898315,2.819419503211975,0.3333333333333333,-0.15172232827912652,0.2198899384740014,1.0121588468325085
225,20.0,3.0,frozen,radial_hann_m0p1_trunc0p5,6,2.9722630977630615,3,2.944871664047241,2.958001494407654,2.8265124956766763,0.3333333333333333,-0.14609551583745523,0.2175344764691191,1.0120880749344214
225,20.0,3.0,frozen,radial_hann_m0p1_trunc0p75,6,3.0060811042785645,3,2.953411261240641,3.0316691398620605,2.8263765573501587,0.5,-0.1338744384898837,0.22132226845255612,1.0121318746346342
225,20.0,3.0,frozen,radial_hann_m0p1_trunc1p0,6,3.0622332096099854,3,2.9690785805384317,3.0510133504867554,2.7984859546025596,0.6666666666666666,-0.14646250284218895,0.21918938088755546,1.0121473774487861
225,20.0,3.0,refit,raw_rectangular_m0p3,6,2.8606293201446533,3,2.958646615346273,2.8824797868728638,2.8839459816614785,0.5,-0.12828424905847155,0.22527260067931265,1.013414454847281
225,20.0,3.0,refit,radial_hann_m0p1_full,6,2.901301383972168,3,2.938056389490763,2.8991382122039795,2.811772425969442,0.3333333333333333,-0.16337743156734622,0.22288270081357833,1.0128307966424221
225,20.0,3.0,refit,radial_hann_m0p1_clip0p5,6,2.929053544998169,3,2.939868768056234,2.9180455207824707,2.8143824338912964,0.3333333333333333,-0.162858675846316,0.22218901791796733,1.012731945318782
225,20.0,3.0,refit,radial_hann_m0p1_clip0p75,6,2.9540746212005615,3,2.9456506172815957,2.947946548461914,2.821834444999695,0.3333333333333333,-0.15540583768611313,0.22031920697682336,1.0127398004450694
225,20.0,3.0,refit,radial_hann_m0p1_clip1p0,6,2.968827724456787,3,2.9462360541025796,2.967608332633972,2.8211748600006104,0.3333333333333333,-0.1518399962431021,0.21981210673744336,1.0127414697859582
225,20.0,3.0,refit,radial_hann_m0p1_trunc0p5,6,2.9722630977630615,3,2.9450669288635254,2.959019184112549,2.827380339304606,0.3333333333333333,-0.14626330983987545,0.21783035693833877,1.012401349195487
225,20.0,3.0,refit,radial_hann_m0p1_trunc0p75,6,3.0060811042785645,3,2.9549314181009927,3.032967209815979,2.828247388203939,0.5,-0.13399858264012598,0.22119751867637813,1.0127532995244657
225,20.0,3.0,refit,radial_hann_m0p1_trunc1p0,6,3.0622332096099854,3,2.969375729560852,3.0524444580078125,2.805260260899862,0.6666666666666666,-0.14173898432508394,0.2182068750363358,1.0142711141043408
225,20.0,5.0,frozen,native,6,2.465082883834839,6,4.328572034835815,4.11729884147644,4.163644393285115,0.5,-0.020419986316045167,0.12517476753942894,1.0018404879451455
225,20.0,5.0,frozen,gaussian_fwhm2p4,6,2.3901174068450928,6,5.3428192138671875,4.9810872077941895,5.3428192138671875,0.0,-0.11463282230859048,0.14924575664804304,1.0107622510785312
