combination,position,row,column,radius,pa_degrees,amplitude,template,cosine,fixed_position_bias_fraction,relative_template_error,best_scaled_template_error,paired_relative_template_error,one_sided_vs_paired_relative_error,fit_status,contrast_bias_fraction,position_error_pixels,row_error_pixels,column_error_pixels,raw_fit_status,raw_contrast_bias_fraction,raw_position_error_pixels,raw_row_error_pixels,raw_column_error_pixels
sigmaMean,2,109,143,24.13503677229434,50.042451069170916,0.004763925929356391,refit,0.9967317287151369,0.04856615621711913,0.09304354343458324,0.08078280121743266,0.0873274188047578,0.01928788395131525,converged,0.03801972219102723,0.028069269287434664,0.018419079850852338,-0.021180684025272845,converged,-0.05902102053227143,0.043808795324150954,0.01881283654468291,0.03956371732909325
sigmaMean,2,109,143,24.13503677229434,50.042451069170916,0.019055703717425564,analytic,0.9734562223799943,-0.2096461931134984,0.345047951552109,0.22887329051173974,0.35743835093209414,0.0362531589586241,converged,-0.21885559733759186,0.034095511461666166,0.017433535786360643,-0.029301462963788882,converged,-0.24265930696854499,0.021652329777495923,0.01671270561322702,-0.01376622155419005
sigmaMean,2,109,143,24.13503677229434,50.042451069170916,0.019055703717425564,refit,0.9767950202292801,-0.19077238343287517,0.314481191216218,0.21417630227287265,0.32635958800623777,0.0362531589586241,converged,-0.20064718453448416,0.029170566822378938,0.012918120290485113,-0.026154237455896734,converged,-0.22507768362650327,0.016587599497647793,0.012314297501795135,-0.01111334936603936
sigmaMean,3,146,112,24.13503677229434,230.0424510691709,0.0011909814823390977,analytic,0.9960822219784128,0.030263751371669034,0.09314685052972793,0.08843193460819257,0.09257208987176807,0.009650844873447431,converged,0.021464948651216176,0.050397095789828546,-0.04046085573228808,0.030046404401527393,converged,0.2463348419996323,0.16279821890981402,0.12461434245684,0.10475937062743901
sigmaMean,3,146,112,24.13503677229434,230.0424510691709,0.0011909814823390977,refit,0.9959743713681813,0.05114717854538231,0.10190029887739065,0.08963844921547873,0.1012395256045028,0.009650844873447431,converged,0.0416914522213514,0.0457355949316652,-0.03663007399064866,0.02738580514049138,converged,0.2732999821665725,0.16238570005487762,0.13124177063063058,0.09562799393509014
sigmaMean,3,146,112,24.13503677229434,230.0424510691709,0.004763925929356391,analytic,0.9962204804534789,0.017035960546468498,0.08844896795758894,0.08686054527251959,0.08775107572918024,0.017743775873705486,converged,0.008038210266181123,0.046248690848075355,-0.03840304991586252,0.025771052798064353,converged,0.062280506247059275,0.04879627222886269,0.005633622518341763,0.04846997504387751
sigmaMean,3,146,112,24.13503677229434,230.0424510691709,0.004763925929356391,refit,0.9964150587941984,0.03796631670495265,0.09211610004106563,0.08459923526932159,0.09094796583000007,0.017743775873705486,converged,0.02830536514935389,0.04155339478888704,-0.03450919640046557,0.023147353677584803,converged,0.08421868762569229,0.04503681699038687,0.010513594887185729,0.043792456053226125
sigmaMean,3,146,112,24.13503677229434,230.0424510691709,0.019055703717425564,analytic,0.9733456191426519,-0.21210236282631367,0.3482174959269514,0.22934320503517816,0.34394574998368554,0.03593933688625324,converged,-0.2213456398662318,0.025380552831431095,-0.025379622921032796,0.00021726116830134146,converged,-0.20796873938644023,0.015291124623241087,-0.013085914748122152,0.007910583255890113
sigmaMean,3,146,112,24.13503677229434,230.0424510691709,0.019055703717425564,refit,0.9765309405002006,-0.19341366079222533,0.31815192479600085,0.2153771627768241,0.313808300214964,0.03593933688625324,converged,-0.20326870382647222,0.02139777766316654,-0.021268137144019983,-0.002351856999365909,converged,-0.18947070759542184,0.009879147788128088,-0.008694369579256733,0.0046910018800860875
sigmaMean,4,98,98,41.71930009000631,135.0,0.0011909814823390977,analytic,0.9869041097750101,-0.04625773124836119,0.16826004835825323,0.1613080224576418,0.16548470421723702,0.008236187508289122,converged,-0.053421114027587424,0.02898406694535903,-0.009986798449234557,-0.027209189503317077,converged,0.06678330726366255,0.08649059579249316,0.042307163636336576,-0.07543690784747659
sigmaMean,4,98,98,41.71930009000631,135.0,0.0011909814823390977,refit,0.9875484232972108,-0.010979591914331732,0.15769687539438548,0.15731532551913957,0.1560925991429496,0.008236187508289122,converged,-0.01847173061437135,0.03240484333301035,-0.010983807265007473,-0.030486551943473605,converged,0.10305483304154661,0.0868506595366795,0.03879160708224516,-0.07770616630572458
sigmaMean,4,98,98,41.71930009000631,135.0,0.004763925929356391,analytic,0.9846112466979994,-0.0774592102744065,0.19332655905325552,0.1747589564966881,0.18398409145486863,0.018582846131734516,converged,-0.0846201643740162,0.028175655622180926,-0.006467684475570001,-0.02742328622292023,converged,-0.0547373337631516,0.04141573642895568,0.006160626353606258,-0.04095497414092675
sigmaMean,4,98,98,41.71930009000631,135.0,0.004763925929356391,refit,0.9874540727280398,-0.04119901643582624,0.1635077301337127,0.1579064731187635,0.15689106695979455,0.018582846131734516,converged,-0.048707884299327375,0.031582466668432285,-0.007460714474109897,-0.030688596259823342,converged,-0.01849364199394521,0.04415168515240717,0.0045225879129242585,-0.04391944330666275
sigmaMean,4,98,98,41.71930009000631,135.0,0.019055703717425564,analytic,0.9309397833244057,-0.38537794349352616,0.6885299251013333,0.36517272601319517,0.6744200902031208,0.02831594569562995,converged,-0.39152556095892665,0.03888903018742894,-0.00995285507168786,-0.03759384716733227,converged,-0.38405730607401467,0.041966816585668525,-0.006270452391851977,-0.0414957241307663
sigmaMean,4,98,98,41.71930009000631,135.0,0.019055703717425564,refit,0.9447377450240108,-0.35361897541524834,0.6120431168620413,0.3278270780868273,0.5984439697741162,0.02831594569562995,converged,-0.3601918208561411,0.041875990931710995,-0.010276359406841795,-0.040595505340544236,converged,-0.35263966350301645,0.044901109355584605,-0.006833696368266695,-0.04437803753331715
sigmaMean,5,157,157,41.71930009000631,315.0,0.0011909814823390977,analytic,0.9883167820062597,0.021854553818349,0.15387242399113607,0.1524137080606314,0.15503203871434065,0.015374691230780965,converged,0.014548164476979819,0.02519507981352743,0.019844111589525593,-0.01552428040304843,converged,0.06852257438507925,0.24364679902409161,0.08562774960874764,-0.2281044742472793
sigmaMean,5,157,157,41.71930009000631,315.0,0.0011909814823390977,refit,0.9880041166894785,0.058625739350182116,0.1638339778110993,0.1544275409525253,0.16480811468287748,0.015374691230780965,converged,0.050963415390587796,0.0248507886968966,0.020566073571521404,-0.013949850060433366,converged,0.10879241618477531,0.24425890239097442,0.08099337944180052,-0.2304397619419012
sigmaMean,5,157,157,41.71930009000631,315.0,0.004763925929356391,analytic,0.9892742025877801,-0.013558134462560378,0.14670184807773992,0.14607036692741945,0.15606359931792696,0.022213707149486266,converged,-0.02074390435254847,0.02499432589916474,0.015236777186388384,-0.01981304994507438,converged,-0.008700273613786447,0.07724298769354673,0.034659850065950515,-0.06903023932474261
sigmaMean,5,157,157,41.71930009000631,315.0,0.004763925929356391,refit,0.9905207531831359,0.02355025604956884,0.13924092532655744,0.1373631592295135,0.1471416143846169,0.022213707149486266,converged,0.0159967856574752,0.024231996026948036,0.016063368608603135,-0.018142707085607945,converged,0.028896804188443204,0.0760210490563847,0.03413407893223752,-0.06792690597311957
sigmaMean,5,157,157,41.71930009000631,315.0,0.019055703717425564,analytic,0.9358536436414733,-0.333323443355803,0.5857593190033785,0.3523889295692732,0.5870582853547908,0.03296291559428567,converged,-0.33976359626537644,0.029193758025321273,0.02801372943315128,-0.00821623215879419,converged,-0.3368598254859462,0.03984119079820155,0.03302970622201418,-0.022279115581776088
sigmaMean,5,157,157,41.71930009000631,315.0,0.019055703717425564,refit,0.948775450649559,-0.29957527666985884,0.514291428611445,0.31595117383027105,0.5146927833087485,0.03296291559428567,converged,-0.30649482595856503,0.029280095813323102,0.028786561280497835,-0.005353307433869636,converged,-0.30339080830693643,0.03857506632661812,0.03333649342428702,-0.01940912023445307
